<<<<<<< HEAD
BRGE8;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17193806000146
BRIT3;BRISANET PARTICIPAÃ‡Ã•ES S.A.;19796586000170
BRIV3;BCO ALFA DE INVESTIMENTO S.A.;60770336000165
BRIV4;BCO ALFA DE INVESTIMENTO S.A.;60770336000165
BRKM3;BRASKEM S.A.;42150391000170
BRKM5;BRASKEM S.A.;42150391000170
BRKM6;BRASKEM S.A.;42150391000170
BRPR3;BR PROPERTIES S.A.;6977751000149
BRQB3;BRQ SOLUCOES EM INFORMATICA S.A.;36542025000164
BRSR3;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92702067000196
BRSR5;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92702067000196
BRSR6;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92702067000196
BSLI3;BRB BCO DE BRASILIA S.A.;208000100
BSLI4;BRB BCO DE BRASILIA S.A.;208000100
CABI3B;CABINDA PARTICIPACOES S.A.;4030182000102
CALI3;CONSTRUTORA ADOLPHO LINDENBERG S.A.;61022042000118
CAMB3;CAMBUCI S.A.;61088894000108
CAML3;CAMIL ALIMENTOS S.A.;64904295000103
CASH3;MÃ‰LIUZ S.A.;14110585000107
CASN3;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;82508433000117
CASN4;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;82508433000117
CATA3;CIA INDUSTRIAL CATAGUASES;19526748000150
CATA4;CIA INDUSTRIAL CATAGUASES;19526748000150
CBAV3;COMPANHIA BRASILEIRA DE ALUMINIO;61409892000173
CBEE3;AMPLA ENERGIA E SERVICOS S.A.;33050071000158
CCRO3;CCR S.A.;2846056000197
CEAB3;CEA MODAS S.A.;45242914000105
CEBR3;CIA ENERGETICA DE BRASILIA;70698000111
CEBR5;CIA ENERGETICA DE BRASILIA;70698000111
CEBR6;CIA ENERGETICA DE BRASILIA;70698000111
CEDO3;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17245234000100
CEDO4;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17245234000100
CEEB3;CIA ELETRICIDADE EST. DA BAHIA ? COELBA;15139629000194
CEEB5;CIA ELETRICIDADE EST. DA BAHIA ? COELBA;15139629000194
CEEB6;CIA ELETRICIDADE EST. DA BAHIA ? COELBA;15139629000194
CEED3;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;8467115000100
CEED4;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;8467115000100
CEGR3;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;33938119000169
CGAS3;CIA GAS DE SAO PAULO ? COMGAS;61856571000117
CGAS5;CIA GAS DE SAO PAULO ? COMGAS;61856571000117
CGRA3;GRAZZIOTIN S.A.;92012467000170
CGRA4;GRAZZIOTIN S.A.;92012467000170
CIEL3;CIELO S.A.;1027058000191
CLSA3;CLEAR SALE S.A.;3802115000198
CLSC3;CENTRAIS ELET DE SANTA CATARINA S.A.;83878892000155
CLSC4;CENTRAIS ELET DE SANTA CATARINA S.A.;83878892000155
CMIG3;CIA ENERGETICA DE MINAS GERAIS ? CEMIG;17155730000164
CMIG4;CIA ENERGETICA DE MINAS GERAIS ? CEMIG;17155730000164
CMIN3;CSN MINERAÃ‡ÃƒO S.A.;8902291000115
CMSA3;CIMS S.A.;272185000193
CMSA4;CIMS S.A.;272185000193
CNSY3;CINESYSTEM S.A.;7437016000105
COCE3;CIA ENERGETICA DO CEARA ? COELCE;7047251000170
COCE5;CIA ENERGETICA DO CEARA ? COELCE;7047251000170
COCE6;CIA ENERGETICA DO CEARA ? COELCE;7047251000170
COGN3;COGNA EDUCAÃ‡ÃƒO S.A.;2800026000140
COMR3;COMERC PARTICIPACOES S.A;25369840000157
CORR3;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;15101405000193
CORR4;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;15101405000193
CPFE3;CPFL ENERGIA S.A.;2429144000193
CPLE11;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CPLE3;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CPLE5;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CPLE6;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CRDE3;CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.;7820907000146
CRFB3;ATACADÃƒO S.A.;75315333000109
CRIV3;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;17167412000113
CRIV4;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;17167412000113
CRPG3;TRONOX PIGMENTOS DO BRASIL S.A.;15115504000124
CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.;15115504000124
CRPG6;TRONOX PIGMENTOS DO BRASIL S.A.;15115504000124
CRTE3B;CONC RIO-TERESOPOLIS S.A.;938574000105
CRTE5B;CONC RIO-TERESOPOLIS S.A.;938574000105
CSAB3;CIA SEGUROS ALIANCA DA BAHIA;15144017000190
CSAB4;CIA SEGUROS ALIANCA DA BAHIA;15144017000190
CSAN3;COSAN S.A.;50746577000115
CSED3;CRUZEIRO DO SUL EDUCACIONAL S.A.;62984091000102
CSMG3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;17281106000103
CSNA3;CIA SIDERURGICA NACIONAL;33042730000104
CSRN3;CIA ENERGETICA DO RIO GDE NORTE ? COSERN;8324196000181
CSRN5;CIA ENERGETICA DO RIO GDE NORTE ? COSERN;8324196000181
CSRN6;CIA ENERGETICA DO RIO GDE NORTE ? COSERN;8324196000181
CSUD3;CSU DIGITAL S.A.;1896779000138
CTCA3;CTC ? CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;6981381000113
CTKA3;KARSTEN S.A.;82640558000104
CTKA4;KARSTEN S.A.;82640558000104
CTNM3;CIA TECIDOS NORTE DE MINAS COTEMINAS;22677520000176
CTNM4;CIA TECIDOS NORTE DE MINAS COTEMINAS;22677520000176
CTSA3;CIA TECIDOS SANTANENSE;21255567000189
CTSA4;CIA TECIDOS SANTANENSE;21255567000189
CURY3;CURY CONSTRUTORA E INCORPORADORA S.A.;8797760000183
CVCB3;CVC BRASIL OPERADORA E AGÃŠNCIA DE VIAGENS S.A.;10760260000119
CXSE3;CAIXA SEGURIDADE PARTICIPAÃ‡Ã•ES S.A.;22543331000100
CYRE3;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;73178600000118
DASA3;DIAGNOSTICOS DA AMERICA S.A.;61486650000183
DESK3;DESKTOP - SIGMANET COMUNICAÃ‡ÃƒO MULTIMÃDIA S.A;8170849000115
DEXP3;DEXXOS PARTICIPACOES S.A.;2193750000152
DEXP4;DEXXOS PARTICIPACOES S.A.;2193750000152
DIRR3;DIRECIONAL ENGENHARIA S.A.;16614075000100
DMFN3;DM FINANCEIRA S.A. - CRÃ‰DITO. FINANC E INVEST;91669747000192
DMVF3;D1000 VAREJO FARMA PARTICIPAÃ‡Ã•ES S.A.;12108897000150
DOHL3;DOHLER S.A.;84683408000103
DOHL4;DOHLER S.A.;84683408000103
DOTZ3;DOTZ S.A.;18174270000184
DTCY3;DTCOM ? DIRECT TO COMPANY S.A.;3303999000136
DTCY4;DTCOM ? DIRECT TO COMPANY S.A.;3303999000136
DXCO3;DURATEX S.A.;97837181000147
EALT3;ELECTRO ACO ALTONA S.A.;82643537000134
EALT4;ELECTRO ACO ALTONA S.A.;82643537000134
ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÃSTICA S.A.;4149454000180
EEEL3;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;92715812000131
EEEL4;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;92715812000131
EGIE3;ENGIE BRASIL ENERGIA S.A.;2474103000119
EKTR3;ELEKTRO REDES S.A.;2328280000197
EKTR4;ELEKTRO REDES S.A.;2328280000197
ELET3;CENTRAIS ELET BRAS S.A. ? ELETROBRAS;1180000126
ELET5;CENTRAIS ELET BRAS S.A. ? ELETROBRAS;1180000126
ELET6;CENTRAIS ELET BRAS S.A. ? ELETROBRAS;1180000126
ELMD3;ELETROMIDIA S.A.;9347516000181
EMAE3;EMAE ? EMPRESA METROP.AGUAS ENERGIA S.A.;2302101000142
EMAE4;EMAE ? EMPRESA METROP.AGUAS ENERGIA S.A.;2302101000142
EMBR3;EMBRAER S.A.;7689002000189
ENAT3;ENAUTA PARTICIPAÃ‡Ã•ES S.A.;11669021000110
ENBR3;EDP ? ENERGIAS DO BRASIL S.A.;3983431000103
ENEV3;ENEVA S.A;4423567000121
ENGI11;ENERGISA S.A.;864214000106
ENGI3;ENERGISA S.A.;864214000106
ENGI4;ENERGISA S.A.;864214000106
ENJU3;ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.;16922038000151
ENMT3;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;3467321000199
ENMT4;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;3467321000199
EPAR3;EMBPAR PARTICIPACOES S.A.;42331462000131
EQMA3B;EQUATORIAL MARANHÃƒO DISTRIBUIDORA DE ENERGIA S.A.;6272793000184
EQMA5B;EQUATORIAL MARANHÃƒO DISTRIBUIDORA DE ENERGIA S.A.;6272793000184
EQMA6B;EQUATORIAL MARANHÃƒO DISTRIBUIDORA DE ENERGIA S.A.;6272793000184
EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;4895728000180
EQPA5;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;4895728000180
EQPA6;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;4895728000180
EQPA7;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;4895728000180
EQTL3;EQUATORIAL ENERGIA S.A.;3220438000173
ESPA3;MPM CORPÃ“REOS S.A.;26659061000159
ESTR3;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;61082004000150
ESTR4;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;61082004000150
ETER3;ETERNIT S.A.;61092037000181
EUCA3;EUCATEX S.A. INDUSTRIA E COMERCIO;56643018000166
EUCA4;EUCATEX S.A. INDUSTRIA E COMERCIO;56643018000166
EUFA3;Elfa Medicamentos S.A.;61190096000192
EVEN3;EVEN CONSTRUTORA E INCORPORADORA S.A.;43470988000165
EZTC3;EZ TEC EMPREEND. E PARTICIPACOES S.A.;8312229000173
FESA3;CIA FERRO LIGAS DA BAHIA ? FERBASA;15141799000103
FESA4;CIA FERRO LIGAS DA BAHIA ? FERBASA;15141799000103
FHER3;FERTILIZANTES HERINGER S.A.;22266175000188
FIGE3;INVESTIMENTOS BEMGE S.A.;1548981000179
FIGE4;INVESTIMENTOS BEMGE S.A.;1548981000179
FIQE3;UNIFIQUE TELECOMUNICAÃ‡Ã•ES S.A.;2255187000108
FLEX3;FLEX GESTÃƒO DE RELACIONAMENTOS S.A.;10851805000100
FLRY3;FLEURY S.A.;60840055000131
FRAS3;FRAS-LE S.A.;88610126000129
FRIO3;METALFRIO SOLUTIONS S.A.;4821041000108
FRRN3B;RUMO MALHA NORTE S.A.;24962466000136
FRRN5B;RUMO MALHA NORTE S.A.;24962466000136
FRRN6B;RUMO MALHA NORTE S.A.;24962466000136
FRTA3;POMIFRUTAS S/A;86550951000150
G2DI33;G2D INVESTMENTS LTD;38307135000177
GEPA3;RIO PARANAPANEMA ENERGIA S.A.;2998301000181
GEPA4;RIO PARANAPANEMA ENERGIA S.A.;2998301000181
GFSA3;GAFISA S.A.;1545826000107
GGBR3;GERDAU S.A.;33611500000119
GGBR4;GERDAU S.A.;33611500000119
GGPS3;GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;9229201000130
GMAT3;GRUPO MATEUS S.A.;24990777000109
GOAU3;METALURGICA GERDAU S.A.;92690783000109
GOAU4;METALURGICA GERDAU S.A.;92690783000109
GOLL3;GOL LINHAS AEREAS INTELIGENTES S.A.;6164253000187
GOLL4;GOL LINHAS AEREAS INTELIGENTES S.A.;6164253000187
GPAR3;CIA CELG DE PARTICIPACOES ? CELGPAR;8560444000193
GPIV33;GP INVESTMENTS, LTD.;7857850000150
GRAO3;HUMBERG AGRIBRASIL COM. E EXPORT. DE GRÃƒOS S.A.;18483666000103
GRND3;GRENDENE S.A.;89850341000160
GSHP3;GENERAL SHOPPING E OUTLETS DO BRASIL S.A.;8764621000153
GUAR3;GUARARAPES CONFECCOES S.A.;8402943000152
HAGA3;HAGA S.A. INDUSTRIA E COMERCIO;30540991000166
HAGA4;HAGA S.A. INDUSTRIA E COMERCIO;30540991000166
HAPV3;HAPVIDA PARTICIPACOES E INVESTIMENTOS SA;5197443000138
HBOR3;HELBOR EMPREENDIMENTOS S.A.;49263189000102
HBRE3;HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A;14785152000151
HBSA3;HIDROVIAS DO BRASIL S.A.;12648327000153
HBTS3;CIA HABITASUL DE PARTICIPACOES;87762563000103
HBTS5;CIA HABITASUL DE PARTICIPACOES;87762563000103
HBTS6;CIA HABITASUL DE PARTICIPACOES;87762563000103
HETA3;HERCULES S.A. FABRICA DE TALHERES;92749225000163
HETA4;HERCULES S.A. FABRICA DE TALHERES;92749225000163
HMOB3;HMOBI PARTICIPAÃ‡Ã•ES S.A.;40159947000164
HOOT3;HOTEIS OTHON S.A.;33200049000147
HOOT4;HOTEIS OTHON S.A.;33200049000147
HYPE3;HYPERA S.A.;2932074000191
IFCM3;NFRACOMMERCE CXAAS S.A.;38456921000136
IGBR3;IGB ELETRÃ”NICA S/A;43185362000107
IGSN3;IGUA SANEAMENTO S.A.;8159965000133
IGTI11;JEREISSATI PARTICIPACOES S.A.;60543816000193
IGTI3;JEREISSATI PARTICIPACOES S.A.;60543816000193
IGTI4;JEREISSATI PARTICIPACOES S.A.;60543816000193
INEP3;INEPAR S.A. INDUSTRIA E CONSTRUCOES;76627504000106
INEP4;INEPAR S.A. INDUSTRIA E CONSTRUCOES;76627504000106
INNT3;INTER CONSTRUTORA E INCORPORADORA S.A.;9611768000176
INTB3;INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;82901000000127
IRBR3;IRB ? BRASIL RESSEGUROS S.A.;33376989000191
ITSA3;ITAUSA S.A.;61532644000115
ITSA4;ITAUSA S.A.;61532644000115
ITUB3;ITAU UNIBANCO HOLDING S.A.;60872504000123
ITUB4;ITAU UNIBANCO HOLDING S.A.;60872504000123
IVPR3B;INVESTIMENTOS E PARTICIP. EM INFRA S.A. ? INVEPAR;3758318000124
IVPR4B;INVESTIMENTOS E PARTICIP. EM INFRA S.A. ? INVEPAR;3758318000124
JALL3;JALLES MACHADO S.A.;2635522000195
JBSS3;JBS S.A.;2916265000160
JFEN3;JOAO FORTES ENGENHARIA S.A.;33035536000100
JHSF3;JHSF PARTICIPACOES S.A.;8294224000165
JOPA3;JOSAPAR-JOAQUIM OLIVEIRA S.A. ? PARTICIP;87456562000122
JOPA4;JOSAPAR-JOAQUIM OLIVEIRA S.A. ? PARTICIP;87456562000122
JSLG3;JSL S.A.;52548435000179
KEPL3;KEPLER WEBER S.A.;91983056000169
KLAS3;KALLAS INCORPORACOES E CONSTRUCOES S.A.;9146451000106
KLBN11;KLABIN S.A.;89637490000145
KLBN3;KLABIN S.A.;89637490000145
KLBN4;KLABIN S.A.;89637490000145
KRSA3;KORA SAÃšDE PARTICIPAÃ‡Ã•ES S.A;13270520000166
LAND3;TERRA SANTA PROPRIEDADES AGRICOLAS S.A.;40337136000106
LAVV3;LAVVI EMPREENDIMENTOS IMOBILIÃRIOS S.A.;26462693000128
LEVE3;MAHLE-METAL LEVE S.A.;60476884000187
LIGT3;LIGHT S.A.;3378521000175
LIPR3;ELETROBRÃS PARTICIPAÃ‡Ã•ES S.A. ? ELETROPAR;1104937000170
LJQQ3;LOJAS QUERO-QUERO S/A;96418264021802
LLBI3;LOJAS LE BISCUIT S.A.;16233389000155
LLBI4;LOJAS LE BISCUIT S.A.;16233389000155
LMED3;LIFEMED INDUSTRIAL EQUIP. DE ART. MÃ‰D. HOSP. S.A.;2357251000153
LOGG3;LOG COMMERCIAL PROPERTIES;9041168000110
LOGN3;LOG-IN LOGISTICA INTERMODAL S.A.;42278291000124
LPSB3;LPS BRASIL ? CONSULTORIA DE IMOVEIS S.A.;8078847000109
LREN3;LOJAS RENNER S.A.;92754738000162
LTEL3B;LITEL PARTICIPACOES S.A.;743065000127
LTLA3B;LITELA PARTICIPAÃ‡Ã•ES S.A.;5495546000184
LUPA3;LUPATECH S.A.;89463822000112
LUXM3;TREVISA INVESTIMENTOS S.A.;92660570000126
LUXM4;TREVISA INVESTIMENTOS S.A.;92660570000126
LVTC3;LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A;5917486000140
LWSA3;LOCAWEB SERVIÃ‡OS DE INTERNET S.A.;2351877000152
MAPT3;CEMEPE INVESTIMENTOS S.A.;93828986000173
MAPT4;CEMEPE INVESTIMENTOS S.A.;93828986000173
MATD3;HOSPITAL MATER DEI AS;16676520000159
MBLY3;Mobly S.A.;31553627000101
MDIA3;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;7206816000115
MDNE3;MOURA DUBEUX ENGENHARIA S/A;12049631000184
MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;17314329000120
MEGA3;OMEGA ENERGIA S.A.;42500384000151
MELK3;MELNICK DESENVOLVIMENTO IMOBILIÃRIO S.A.;12181987000177
MERC3;MERCANTIL BRASIL FINANC S.A. C.F.I.;33040601000187
MERC4;MERCANTIL BRASIL FINANC S.A. C.F.I.;33040601000187
MGEL3;MANGELS INDUSTRIAL S.A.;61065298000102
MGEL4;MANGELS INDUSTRIAL S.A.;61065298000102
MGLU3;MAGAZINE LUIZA S.A.;47960950000121
MILS3;MILLS ESTRUTURAS E SERVIÃ‡OS DE ENGENHARIA S.A.;27093558000115
MLAS3;MULTILASER INDUSTRIAL S.A.;59717553000102
MMAQ3;MINASMAQUINAS S.A.;17161241000115
MMAQ4;MINASMAQUINAS S.A.;17161241000115
MNDL3;MUNDIAL S.A. ? PRODUTOS DE CONSUMO;88610191000154
MNPR3;MINUPAR PARTICIPACOES S.A.;90076886000140
MNZC3B;TERMINAL GARAGEM MENEZES CORTES S.A.;2664042000152
MOAR3;MONTEIRO ARANHA S.A.;33102476000192
MODL3;BANCO MODAL S.A;30723886000162
MOVI3;MOVIDA PARTICIPACOES SA;21314559000166
MRFG3;MARFRIG GLOBAL FOODS S.A.;3853896000140
MRSA3B;MRS LOGISTICA S.A.;1417222000177
MRSA5B;MRS LOGISTICA S.A.;1417222000177
MRSA6B;MRS LOGISTICA S.A.;1417222000177
MRVE3;MRV ENGENHARIA E PARTICIPACOES S.A.;8343492000120
MSPA3;CIA MELHORAMENTOS DE SAO PAULO;60730348000166
MSPA4;CIA MELHORAMENTOS DE SAO PAULO;60730348000166
MSRO3;MAESTRO LOCADORA DE VEICULOS S.A.;8795211000170
MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÃ‡Ã•ES S.A.;7882930000165
MTSA3;METISA METALURGICA TIMBOENSE S.A.;86375425000109
MTSA4;METISA METALURGICA TIMBOENSE S.A.;86375425000109
MULT3;MULTIPLAN ? EMPREEND IMOBILIARIOS S.A.;7816890000153
MWET3;WETZEL S.A.;84683671000194
MWET4;WETZEL S.A.;84683671000194
MYPK3;IOCHPE MAXION S.A.;61156113000175
NEMO3;SUZANO HOLDING S.A.;60651809000105
NEMO5;SUZANO HOLDING S.A.;60651809000105
NEMO6;SUZANO HOLDING S.A.;60651809000105
NEOE3;NEOENERGIA S.A.;1083200000118
NEXP3;NEXPE PARTICIPAÃ‡Ã•ES S.A;8613550000198
NGRD3;NEOGRID PARTICIPACOES S.A.;10139870000108
NINJ3;GETNINJAS S.A.;14127813000151
NORD3;NORDON INDUSTRIAS METALURGICAS S.A.;60884319000159
NRTQ3;NORTEC QUÃMICA S.A.;29950060000157
NTCO3;NATURA &CO HOLDING S.A.;32785497000197
NUBR33;NU HOLDINGS LTD;24410913000144
NUTR3;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;51128999000190
ODER3;CONSERVAS ODERICH S.A.;97191902000194
ODER4;CONSERVAS ODERICH S.A.;97191902000194
ODPV3;ODONTOPREV S.A.;58119199000151
OFSA3;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.;20258278000170
OIBR3;OI S.A.;76535764000143
OIBR4;OI S.A.;76535764000143
ONCO3;ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.;12104241000402
OPCT3;OCEANPACT SERVICOS MARITIMOS S.A.;9114805000130
OPGM3B;GAMA PARTICIPACOES S.A.;2796775000140
OPSE3B;SUDESTE S.A.;2062747000108
OPTS3B;SUL 116 PARTICIPACOES S.A.;1957772000189
ORVR3;ORIZON VALORIZACAO DE RESIDUOS S.A.;11421994000136
OSXB3;OSX BRASIL S.A.;9112685000132
PARD3;INSTITUTO HERMES PARDINI S.A.;19378769000176
PASS3;COMPASS GÃS E ENERGIA S.A.;21389501000181
PASS6;COMPASS GÃS E ENERGIA S.A.;21389501000181
PATI3;PANATLANTICA S.A.;92693019000189
PATI4;PANATLANTICA S.A.;92693019000189
PCAR3;CIA BRASILEIRA DE DISTRIBUICAO;47508411000156
PDGR3;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2950811000189
PDTC3;PADTEC HOLDING S.A.;2365069000144
PEAB3;CIA PARTICIPACOES ALIANCA DA BAHIA;1938783000111
PEAB4;CIA PARTICIPACOES ALIANCA DA BAHIA;1938783000111
PETR3;PETROLEO BRASILEIRO S.A. PETROBRAS;33000167000101
PETR4;PETROLEO BRASILEIRO S.A. PETROBRAS;33000167000101
PETZ3;PET CENTER COMERCIO E PARTICIPACOES S.A.;18328118000109
